Number of Tool Switches: 27 

Time elapsed: 0.000122 
Tool Sequence:
      3J  6J  8J  1J  2J  5J  4J  7J
  1T   1   1   0   0   0   0   0   0
  2T   0   0   0   0   1   0   0   0
  3T   0   0   1   0   0   0   0   0
  4T   0   0   0   0   1   0   0   0
  5T   0   0   0   1   0   0   0   0
  6T   0   0   1   0   0   0   0   0
  7T   0   0   0   0   0   1   0   0
  8T   0   0   0   0   0   0   0   1
  9T   0   0   0   0   0   0   0   1
 10T   0   0   0   0   0   0   1   0
 11T   1   1   0   0   0   0   0   0
 12T   0   0   0   1   0   0   0   0
 13T   1   1   0   0   0   0   0   0
 14T   0   0   0   1   1   1   1   0
 15T   0   0   0   0   0   1   1   0
 16T   1   1   1   0   0   0   0   1
 17T   0   0   0   0   1   1   1   0
 18T   0   0   1   1   0   0   0   0
 19T   1   1   0   0   0   0   0   0
 20T   0   0   0   0   0   0   0   1
 21T   0   0   0   0   0   1   0   0
 22T   0   0   0   1   0   0   0   0
 23T   0   0   0   0   1   0   0   0
 24T   0   0   0   0   0   0   1   0
 25T   0   0   1   0   0   0   0   1
