Number of Tool Switches: 32 

Time elapsed: 0.000140 
Tool Sequence:
      3J  4J  1J  2J  7J  5J  6J  8J
  1T   0   0   0   1   1   1   1   0
  2T   1   1   1   0   0   0   0   0
  3T   1   1   1   1   1   1   1   0
  4T   0   0   0   0   1   1   0   0
  5T   1   1   0   0   0   0   1   1
  6T   1   1   0   0   0   0   0   1
  7T   0   0   0   0   0   0   0   1
  8T   1   1   1   0   0   0   1   1
  9T   0   0   0   1   0   0   0   0
 10T   1   0   0   0   0   0   0   1
 11T   1   1   1   1   1   1   1   1
 12T   0   0   1   0   0   0   1   0
 13T   1   1   1   1   0   0   0   0
 14T   0   0   0   1   1   0   1   1
 15T   0   0   0   0   0   1   0   0
 16T   0   0   0   0   0   1   0   0
 17T   0   0   0   1   1   1   1   0
 18T   0   0   1   1   1   1   0   0
 19T   0   0   1   1   1   0   0   0
 20T   1   1   1   0   0   0   0   0
 21T   1   1   1   0   0   0   0   0
 22T   0   1   0   0   0   0   0   0
 23T   0   0   0   1   1   0   0   1
 24T   0   0   0   0   1   1   1   1
 25T   0   0   0   0   0   1   1   1
