Number of Tool Switches: 16 

Time elapsed: 0.000104 
Tool Sequence:
      5J  8J  1J  4J  7J  2J  6J  3J
  1T   0   0   0   0   0   0   1   1
  2T   0   0   0   0   0   1   1   0
  3T   0   0   0   0   0   1   1   0
  4T   1   1   1   1   0   0   0   0
  5T   0   0   0   0   1   1   1   0
  6T   0   0   0   1   1   1   0   0
  7T   0   0   0   0   0   0   0   1
  8T   1   1   1   1   1   0   0   0
  9T   1   1   1   0   0   0   0   0
 10T   0   0   0   1   1   0   0   1
 11T   0   0   0   0   0   0   1   1
 12T   1   1   1   1   1   1   0   0
 13T   0   0   1   0   0   0   0   0
 14T   0   0   0   0   0   0   0   1
 15T   1   1   0   0   0   0   0   0
