Number of Tool Switches: 24 

Time elapsed: 0.000111 
Tool Sequence:
      5J  3J  7J  1J  6J  4J  8J  2J
  1T   1   1   1   1   1   1   1   1
  2T   0   0   0   1   1   1   1   1
  3T   0   0   1   1   1   1   0   1
  4T   1   1   1   1   1   1   0   1
  5T   0   0   0   0   0   0   1   1
  6T   1   1   1   1   1   1   1   1
  7T   1   1   1   1   1   1   1   1
  8T   1   1   1   1   1   1   1   1
  9T   1   1   1   1   1   1   1   1
 10T   1   1   1   0   0   0   1   1
 11T   1   1   1   1   1   1   1   0
 12T   1   1   1   1   1   1   1   1
 13T   1   1   1   0   0   0   0   1
 14T   1   1   1   1   1   1   0   0
 15T   0   0   0   0   0   0   1   1
 16T   1   1   1   1   1   1   1   0
 17T   0   0   0   1   1   1   1   0
 18T   1   1   0   0   0   0   0   0
 19T   1   1   1   1   1   1   1   1
 20T   1   1   1   1   1   1   1   1
