Number of Tool Switches: 22 

Time elapsed: 0.000093 
Tool Sequence:
      3J  2J  4J  6J  1J  7J  8J  5J
  1T   1   1   1   1   1   1   1   0
  2T   1   1   1   1   1   1   1   1
  3T   1   1   1   1   1   1   1   0
  4T   1   1   1   0   0   0   0   1
  5T   0   0   1   1   0   0   1   1
  6T   0   0   0   0   1   1   1   1
  7T   1   1   1   1   1   1   1   1
  8T   1   1   0   0   0   0   1   1
  9T   1   1   0   1   1   1   0   0
 10T   0   0   1   1   1   1   1   1
 11T   0   0   0   1   1   1   1   1
 12T   1   1   1   1   0   1   0   1
 13T   1   1   1   0   0   0   0   1
 14T   0   0   0   0   1   1   1   0
 15T   1   1   1   1   1   0   0   0
