Number of Tool Switches: 35 

Time elapsed: 0.000150 
Tool Sequence:
      1J  6J  7J  5J  8J  3J  2J  4J
  1T   1   1   0   0   0   0   0   0
  2T   0   0   1   1   1   1   1   0
  3T   0   0   0   0   1   1   1   1
  4T   0   0   0   1   1   1   0   0
  5T   0   0   1   1   1   0   0   0
  6T   0   0   0   1   0   1   1   1
  7T   1   1   0   0   0   0   0   1
  8T   1   1   1   1   1   0   0   0
  9T   1   0   0   0   0   0   0   0
 10T   0   0   1   0   0   0   1   1
 11T   1   1   1   1   0   0   0   0
 12T   1   1   1   1   0   0   0   1
 13T   1   0   0   0   0   0   0   0
 14T   0   0   0   0   0   1   1   0
 15T   0   0   1   1   1   0   1   1
 16T   0   0   1   1   1   1   1   1
 17T   1   1   1   0   0   0   0   0
 18T   1   1   0   0   0   1   1   0
 19T   1   1   0   0   0   1   0   1
 20T   0   0   0   0   0   1   0   0
 21T   0   1   0   0   1   0   0   0
 22T   0   1   0   0   1   0   0   0
 23T   0   0   0   0   0   0   1   1
 24T   0   0   0   1   1   1   1   1
 25T   0   0   1   0   0   0   0   0
