Number of Tool Switches: 32 

Time elapsed: 0.000101 
Tool Sequence:
      1J  4J  3J  5J  8J  2J  6J  7J
  1T   1   1   1   1   1   1   1   0
  2T   0   0   1   1   1   1   1   1
  3T   0   0   0   1   1   1   1   1
  4T   1   1   1   1   0   0   0   0
  5T   1   1   1   1   1   1   1   1
  6T   1   1   1   1   1   1   0   0
  7T   1   1   1   1   1   1   1   1
  8T   1   1   1   0   1   1   1   1
  9T   1   1   1   1   0   0   0   1
 10T   1   1   1   1   1   1   1   0
 11T   0   1   1   0   0   0   1   1
 12T   1   0   0   1   1   1   0   1
 13T   1   1   1   1   1   1   0   1
 14T   0   0   1   1   1   0   1   1
 15T   1   1   1   1   1   1   1   1
 16T   1   1   1   0   1   0   1   1
 17T   1   1   1   1   1   1   1   1
 18T   1   1   0   0   0   1   1   1
 19T   0   0   0   1   0   1   1   0
 20T   1   1   0   0   1   1   1   1
