Number of Tool Switches: 26 

Time elapsed: 0.000176 
Tool Sequence:
      5J  6J  4J  7J  1J  8J  2J  3J
  1T   0   0   0   0   0   0   0   1
  2T   1   1   1   1   0   0   0   0
  3T   1   1   1   1   1   1   1   1
  4T   1   1   1   0   0   0   0   1
  5T   0   0   0   0   0   0   0   1
  6T   1   1   1   1   1   1   1   1
  7T   1   1   1   1   0   0   0   0
  8T   1   1   1   1   1   1   1   1
  9T   0   0   0   0   0   0   0   1
 10T   1   1   1   1   1   1   1   1
 11T   1   1   1   1   1   1   1   1
 12T   1   1   1   0   0   0   0   0
 13T   0   0   0   0   0   0   1   1
 14T   1   1   1   1   1   1   1   1
 15T   0   0   0   1   1   1   1   1
 16T   1   1   1   1   1   1   1   1
 17T   0   0   0   0   1   1   1   1
 18T   1   1   1   1   1   1   1   0
 19T   0   0   0   0   1   0   0   0
 20T   1   1   1   1   1   1   1   0
 21T   0   0   0   0   0   0   0   1
 22T   0   0   0   1   1   1   0   0
 23T   1   1   1   1   1   1   1   0
 24T   0   0   0   0   0   1   1   0
 25T   1   1   1   1   1   1   1   0
