Number of Tool Switches: 29 

Time elapsed: 0.000147 
Tool Sequence:
      6J  3J  2J  5J  7J  4J  1J  8J
  1T   1   1   0   0   0   0   0   0
  2T   0   0   0   0   1   1   1   0
  3T   0   0   0   0   0   0   1   1
  4T   0   0   0   0   0   1   1   0
  5T   0   0   0   0   0   1   1   1
  6T   0   0   1   1   1   1   0   0
  7T   0   0   1   1   1   0   0   0
  8T   0   0   1   1   1   1   0   0
  9T   1   1   1   1   0   0   1   1
 10T   0   0   0   1   1   1   1   1
 11T   0   0   0   0   1   1   1   1
 12T   1   1   0   0   0   0   0   1
 13T   1   1   1   1   0   0   0   0
 14T   0   0   0   0   1   1   1   1
 15T   1   1   1   1   0   0   0   0
 16T   1   1   0   0   0   0   0   0
 17T   0   0   0   0   1   0   0   0
 18T   1   1   1   1   0   0   0   0
 19T   1   1   0   0   0   1   1   1
 20T   0   0   1   1   1   1   0   0
 21T   0   0   0   0   0   0   0   1
 22T   0   0   0   0   0   0   1   0
 23T   0   0   0   0   1   0   0   0
 24T   1   1   1   1   0   0   0   1
 25T   1   1   1   0   0   0   0   0
