Number of Tool Switches: 24 

Time elapsed: 0.000136 
Tool Sequence:
      2J  5J  4J  6J  8J  1J  7J  3J
  1T   0   0   0   1   1   1   1   1
  2T   1   1   0   0   0   0   0   0
  3T   0   0   1   0   0   0   0   1
  4T   0   0   0   0   1   1   1   0
  5T   0   0   0   1   1   1   1   1
  6T   0   0   0   0   1   1   1   1
  7T   1   1   1   1   0   0   0   0
  8T   1   0   0   0   0   0   1   1
  9T   0   0   1   0   0   0   0   0
 10T   1   1   1   1   0   0   0   0
 11T   0   0   0   0   0   1   0   0
 12T   1   1   1   1   1   1   1   1
 13T   1   1   0   0   0   0   1   1
 14T   1   1   1   1   1   0   0   0
 15T   1   1   0   0   0   0   0   0
 16T   0   0   1   1   1   1   1   1
 17T   1   1   1   1   1   1   1   0
 18T   0   0   0   1   1   1   1   1
 19T   1   1   1   1   1   1   0   0
 20T   0   1   1   0   0   0   0   1
