Number of Tool Switches: 36 

Time elapsed: 0.000131 
Tool Sequence:
      2J  3J  4J  5J  6J  8J  7J  1J
  1T   0   0   0   0   0   0   1   1
  2T   1   0   0   0   1   0   0   0
  3T   1   1   1   1   1   1   1   1
  4T   0   0   0   0   0   1   1   1
  5T   1   1   1   1   1   1   1   1
  6T   0   0   0   0   0   1   1   1
  7T   0   0   1   1   1   1   1   1
  8T   0   1   1   1   1   0   0   1
  9T   1   1   1   1   1   1   1   1
 10T   0   1   1   1   1   1   1   1
 11T   1   0   0   1   0   0   0   0
 12T   1   1   0   0   0   0   0   0
 13T   1   1   1   0   0   0   1   1
 14T   1   1   1   1   1   1   1   0
 15T   1   0   0   0   1   1   1   1
 16T   1   1   1   1   1   1   1   1
 17T   0   0   0   1   1   0   0   1
 18T   1   1   1   1   1   1   0   0
 19T   0   1   1   1   0   0   0   0
 20T   0   1   1   1   1   1   0   0
 21T   1   0   0   1   0   0   0   1
 22T   1   1   1   1   1   1   1   0
 23T   0   0   1   0   1   1   0   0
 24T   1   1   0   0   0   1   1   1
 25T   1   1   1   0   0   0   1   0
