Number of Tool Switches: 35 

Time elapsed: 0.001419 
Tool Sequence:
      3J  7J  6J  8J  2J  5J  1J  4J
  1T   1   1   1   1   1   1   1   1
  2T   1   1   1   1   1   1   1   1
  3T   0   0   1   1   1   1   1   1
  4T   0   0   1   1   1   1   0   0
  5T   1   1   1   1   1   1   1   1
  6T   1   0   0   0   0   0   1   1
  7T   1   1   0   0   1   1   0   0
  8T   1   1   1   1   1   1   1   1
  9T   0   0   1   1   1   0   0   0
 10T   1   1   1   1   1   1   1   0
 11T   0   1   1   1   0   1   1   1
 12T   0   0   0   0   1   1   1   1
 13T   0   0   0   0   0   1   1   1
 14T   1   1   1   0   0   0   1   1
 15T   1   1   1   1   1   0   0   0
 16T   1   1   1   1   1   1   1   0
 17T   1   1   1   1   1   1   1   1
 18T   1   1   0   1   0   0   0   0
 19T   0   0   0   0   0   0   0   1
 20T   0   1   1   0   0   1   1   1
 21T   1   0   0   0   0   0   1   1
 22T   0   1   0   0   1   0   0   0
 23T   1   0   0   1   1   1   0   0
 24T   1   1   0   0   0   0   0   0
 25T   0   0   1   1   0   0   0   1
