Number of Tool Switches: 26 

Time elapsed: 0.001200 
Tool Sequence:
      2J  3J  6J  1J  8J  7J  4J  5J
  1T   1   1   0   0   0   0   0   0
  2T   0   0   0   1   1   1   1   1
  3T   1   1   1   1   0   0   0   0
  4T   1   1   1   0   0   0   0   0
  5T   0   0   0   0   1   0   0   0
  6T   1   1   1   1   1   0   0   0
  7T   0   0   1   1   1   1   1   1
  8T   0   0   0   0   1   0   0   0
  9T   0   0   1   1   0   0   0   0
 10T   1   1   0   1   1   1   1   1
 11T   1   1   0   0   0   0   0   0
 12T   1   1   0   0   0   0   0   0
 13T   1   1   0   0   0   0   0   0
 14T   0   0   0   0   0   0   1   1
 15T   0   0   0   0   0   1   1   1
 16T   0   0   1   1   1   1   1   1
 17T   1   1   1   0   0   0   0   0
 18T   0   0   1   1   1   1   1   1
 19T   0   0   0   0   0   1   0   0
 20T   0   0   0   0   0   1   0   0
 21T   0   0   0   0   0   0   0   1
 22T   0   0   1   1   1   1   1   1
 23T   0   0   0   0   0   0   1   1
 24T   1   1   1   0   0   0   0   0
 25T   0   0   0   1   1   1   1   0
