Number of Tool Switches: 21 

Time elapsed: 0.000997 
Tool Sequence:
      1J  6J  7J  8J  5J  4J  3J  2J
  1T   1   1   1   1   1   1   1   1
  2T   1   1   1   1   1   1   1   1
  3T   1   1   1   1   0   0   0   0
  4T   1   1   1   1   1   1   1   1
  5T   1   1   1   1   1   1   1   1
  6T   0   0   0   0   0   0   0   1
  7T   0   0   0   0   1   1   1   1
  8T   1   1   1   0   0   0   1   1
  9T   1   1   1   1   1   1   1   1
 10T   1   1   1   1   1   1   1   1
 11T   1   1   1   1   1   1   1   1
 12T   0   0   0   0   0   1   1   1
 13T   1   1   1   1   1   1   1   1
 14T   1   1   1   1   1   1   1   1
 15T   0   0   0   1   1   1   1   1
 16T   1   1   1   1   1   1   0   0
 17T   1   1   1   0   0   0   0   0
 18T   1   1   1   1   1   0   0   0
 19T   1   1   1   1   1   1   1   1
 20T   0   0   0   1   1   1   1   0
