Number of Tool Switches: 36 

Time elapsed: 0.001673 
Tool Sequence:
      3J  1J  8J  7J  4J  6J  2J  5J
  1T   0   0   0   0   0   1   1   1
  2T   1   1   1   1   1   1   1   1
  3T   1   1   1   1   0   1   0   0
  4T   1   1   0   0   1   1   1   1
  5T   0   0   0   0   0   1   1   1
  6T   0   0   0   1   1   1   1   0
  7T   0   0   1   1   1   0   0   0
  8T   1   0   0   0   1   1   0   0
  9T   0   0   0   0   1   1   1   0
 10T   1   1   1   1   1   0   0   1
 11T   1   1   1   1   1   1   1   1
 12T   1   1   1   1   0   0   0   0
 13T   0   0   1   1   0   0   1   1
 14T   1   1   1   1   1   0   0   0
 15T   0   0   0   1   1   1   1   1
 16T   1   1   1   1   1   1   1   1
 17T   1   1   1   0   0   1   1   1
 18T   1   1   1   0   0   0   0   0
 19T   1   1   0   0   0   1   0   0
 20T   1   1   0   0   1   1   1   1
 21T   1   1   1   0   0   0   0   1
 22T   0   1   1   1   1   0   0   0
 23T   1   1   1   1   0   0   1   1
 24T   0   0   1   1   1   1   1   1
 25T   0   0   0   1   1   0   1   1
