Number of Tool Switches: 33 

Time elapsed: 0.001361 
Tool Sequence:
      1J  4J  3J  5J  7J  2J  6J  8J
  1T   1   1   1   1   1   1   1   1
  2T   1   1   1   1   1   1   1   0
  3T   1   1   1   1   1   1   1   1
  4T   0   0   1   1   1   1   0   0
  5T   0   0   0   0   1   1   1   0
  6T   1   1   1   1   1   0   0   1
  7T   1   0   0   0   0   0   0   0
  8T   1   1   1   1   0   0   0   1
  9T   0   1   1   1   1   1   1   1
 10T   1   1   1   0   0   0   0   1
 11T   1   1   1   1   0   0   0   0
 12T   1   1   1   1   1   1   1   0
 13T   1   1   0   0   0   0   1   0
 14T   1   1   1   1   1   0   0   1
 15T   0   0   1   0   0   0   0   1
 16T   1   1   0   0   0   1   1   1
 17T   0   0   0   1   1   1   1   0
 18T   0   0   0   0   0   1   1   1
 19T   0   0   1   1   1   1   1   1
 20T   1   1   0   0   1   1   1   1
 21T   1   1   1   1   1   0   0   0
 22T   0   0   0   0   0   0   0   1
 23T   0   0   0   1   1   1   1   0
 24T   1   1   1   1   1   1   1   1
 25T   0   0   0   0   0   1   1   1
