Number of Tool Switches: 15 

Time elapsed: 0.000618 
Tool Sequence:
      7J  8J  4J  5J  2J  6J  3J  1J
  1T   1   1   1   1   1   1   1   1
  2T   1   1   1   1   1   1   1   1
  3T   1   1   1   1   1   1   1   1
  4T   0   0   0   0   0   0   0   1
  5T   1   1   1   1   1   1   1   1
  6T   1   1   1   1   1   1   1   1
  7T   0   0   0   0   0   1   1   1
  8T   1   1   1   1   1   1   1   1
  9T   1   1   1   1   1   1   0   0
 10T   0   0   0   0   0   0   1   1
 11T   1   1   1   1   0   0   0   0
 12T   0   0   1   1   1   1   1   0
 13T   1   1   0   0   0   0   0   0
 14T   0   0   0   0   1   0   0   0
 15T   1   1   1   1   1   1   1   1
