Number of Tool Switches: 21 

Time elapsed: 0.001014 
Tool Sequence:
      8J  5J  7J  1J  3J  4J  6J  2J
  1T   1   1   1   1   1   1   1   1
  2T   1   1   1   1   1   1   1   1
  3T   1   1   0   0   0   0   1   1
  4T   1   1   0   0   0   0   0   0
  5T   1   1   1   1   1   1   1   1
  6T   1   1   1   1   1   1   1   1
  7T   1   1   1   1   1   1   1   1
  8T   1   1   1   1   1   1   1   1
  9T   0   0   1   1   1   1   1   1
 10T   1   1   1   0   0   0   0   0
 11T   1   1   1   1   1   1   1   1
 12T   1   1   1   1   1   1   1   1
 13T   1   1   1   1   1   1   1   1
 14T   0   0   1   1   1   1   1   1
 15T   1   1   1   1   1   1   1   1
 16T   0   0   0   1   1   1   1   1
 17T   1   0   0   0   0   0   0   0
 18T   0   0   0   0   0   0   0   1
 19T   1   1   1   1   1   1   1   0
 20T   0   1   1   1   1   1   0   0
