Number of Tool Switches: 28 

Time elapsed: 0.001312 
Tool Sequence:
      3J  4J  2J  1J  5J  8J  7J  6J
  1T   0   0   0   0   0   0   0   1
  2T   1   1   0   0   0   0   0   0
  3T   1   1   1   1   1   1   1   1
  4T   1   1   0   0   0   1   1   1
  5T   1   1   0   0   0   0   0   1
  6T   0   0   1   1   1   1   1   1
  7T   0   0   1   1   1   1   1   1
  8T   0   0   1   1   0   0   0   0
  9T   0   0   0   0   0   0   1   0
 10T   0   0   0   0   1   1   1   1
 11T   1   1   1   1   1   1   1   1
 12T   0   0   0   0   0   1   1   0
 13T   1   1   1   0   0   0   0   0
 14T   1   1   0   0   1   1   1   1
 15T   0   0   0   1   1   1   0   0
 16T   1   1   1   1   1   1   1   1
 17T   1   1   1   1   1   1   1   1
 18T   1   1   1   1   1   1   1   1
 19T   0   0   1   1   1   1   1   1
 20T   1   1   1   1   0   0   0   0
 21T   1   1   1   1   1   0   0   0
 22T   1   1   1   1   0   0   0   0
 23T   1   1   1   1   1   0   0   0
 24T   1   1   1   1   1   1   1   1
 25T   0   0   0   0   1   1   1   1
