Number of Tool Switches: 29 

Time elapsed: 0.000809 
Tool Sequence:
      5J  6J  4J  8J  1J  7J  3J  2J
  1T   1   0   1   1   1   0   0   0
  2T   0   0   1   1   1   1   0   0
  3T   0   0   0   1   1   1   1   1
  4T   0   0   0   0   0   0   1   1
  5T   1   1   0   0   0   0   0   0
  6T   1   1   0   0   0   0   0   0
  7T   1   1   0   0   0   1   1   1
  8T   0   0   0   0   1   1   0   0
  9T   1   0   1   1   1   1   1   0
 10T   1   1   1   1   0   0   0   1
 11T   0   1   0   1   1   1   1   1
 12T   1   0   0   0   1   1   1   1
 13T   1   0   1   1   1   1   1   1
 14T   0   1   1   1   1   1   1   0
 15T   1   1   1   0   0   0   0   0
 16T   0   1   1   1   0   0   0   1
 17T   0   0   0   0   0   0   0   1
 18T   0   0   0   0   0   0   1   0
 19T   1   1   1   0   0   0   0   1
 20T   0   1   1   1   1   1   1   0
