Number of Tool Switches: 26 

Time elapsed: 0.001438 
Tool Sequence:
      6J  4J  5J  1J  3J  8J  2J  7J
  1T   1   1   1   0   0   0   0   0
  2T   0   0   1   1   0   0   0   0
  3T   1   1   1   0   0   0   0   0
  4T   1   0   0   0   0   0   0   0
  5T   1   1   1   1   1   1   0   0
  6T   1   0   0   0   0   0   0   0
  7T   1   1   1   1   1   1   1   1
  8T   0   0   0   0   0   1   1   1
  9T   0   1   0   0   0   0   0   0
 10T   1   1   1   1   1   1   0   0
 11T   1   1   1   1   1   1   1   1
 12T   0   0   0   0   1   0   0   0
 13T   0   0   0   0   0   0   1   1
 14T   0   0   0   0   0   0   1   1
 15T   0   1   1   1   0   0   0   0
 16T   1   1   1   1   1   0   0   0
 17T   0   0   0   0   1   1   0   0
 18T   0   0   0   0   1   1   1   1
 19T   0   0   0   1   0   0   1   1
 20T   0   0   0   0   0   1   1   1
 21T   1   0   0   0   0   0   0   0
 22T   0   0   0   0   0   0   1   0
 23T   0   0   0   1   1   1   0   0
 24T   0   1   1   1   1   1   1   1
 25T   0   0   0   0   0   0   0   1
