Number of Tool Switches: 32 

Time elapsed: 0.000872 
Tool Sequence:
      5J  7J  4J  8J  2J  3J  6J  1J
  1T   1   1   0   0   0   0   0   0
  2T   0   0   1   1   1   1   1   1
  3T   1   0   0   1   0   0   0   0
  4T   1   1   1   1   0   0   0   0
  5T   0   1   1   1   1   1   1   0
  6T   1   1   0   0   1   1   1   1
  7T   0   0   0   0   0   0   0   1
  8T   0   1   1   1   0   0   0   1
  9T   1   1   1   1   1   1   1   1
 10T   0   0   1   1   1   1   1   1
 11T   1   0   0   0   1   0   0   1
 12T   0   1   1   0   0   0   1   1
 13T   0   0   1   1   1   0   0   1
 14T   1   1   1   0   0   1   1   0
 15T   1   0   0   1   1   0   0   0
 16T   1   1   0   0   0   1   1   0
 17T   1   0   0   0   0   1   1   0
 18T   0   0   0   1   1   1   0   0
 19T   0   1   1   0   0   0   0   1
 20T   0   0   0   0   1   1   1   0
