Number of Tool Switches: 25 

Time elapsed: 0.109442 
Tool Sequence:
      5J  2J  1J  8J  3J  4J  7J  6J
  1T   1   1   1   1   1   1   1   1
  2T   1   1   1   1   1   1   1   1
  3T   1   1   1   1   1   1   1   1
  4T   0   0   0   1   1   1   1   1
  5T   1   1   1   1   1   1   1   1
  6T   1   1   1   1   1   1   1   1
  7T   1   1   1   1   1   1   1   1
  8T   1   1   1   1   1   1   1   1
  9T   1   1   1   1   1   1   1   1
 10T   0   0   0   1   1   1   1   1
 11T   1   1   1   1   1   1   1   1
 12T   1   1   1   1   1   1   1   1
 13T   1   1   1   1   1   1   1   1
 14T   1   1   1   1   1   1   1   1
 15T   1   1   1   1   1   1   1   1
 16T   0   0   1   1   1   1   1   1
 17T   1   1   1   1   1   1   1   0
 18T   1   1   1   0   0   0   0   0
 19T   1   1   1   1   0   0   0   0
 20T   1   1   1   1   1   1   1   1
 21T   1   1   1   0   0   0   0   0
 22T   1   1   0   0   0   0   0   0
 23T   1   1   1   1   1   1   1   1
 24T   0   0   0   0   0   0   0   1
 25T   0   0   0   0   1   1   1   1
