Number of Tool Switches: 25 

Time elapsed: 0.128940 
Tool Sequence:
      2J  3J  4J  1J  8J  5J  6J  7J
  1T   1   1   1   0   0   0   0   0
  2T   1   1   1   1   1   1   1   1
  3T   1   1   1   1   1   1   1   1
  4T   0   0   0   1   1   1   1   1
  5T   1   1   1   1   1   1   1   1
  6T   0   0   0   0   0   1   1   1
  7T   1   1   1   1   1   0   0   0
  8T   1   1   0   0   0   0   0   0
  9T   0   0   1   1   0   0   0   0
 10T   0   0   0   1   1   1   1   1
 11T   0   0   0   0   0   0   0   1
 12T   0   0   1   1   1   1   1   1
 13T   1   1   1   1   1   1   1   1
 14T   0   0   0   0   1   1   1   1
 15T   0   0   0   0   1   1   1   1
 16T   1   1   1   1   1   1   0   0
 17T   1   1   1   1   1   1   1   1
 18T   0   0   1   1   1   1   1   1
 19T   1   1   1   0   0   0   0   0
 20T   1   1   0   0   0   0   0   0
 21T   1   1   1   1   1   1   1   1
 22T   1   1   1   1   1   1   1   0
 23T   0   0   0   0   0   0   1   1
 24T   1   1   0   0   0   0   0   0
 25T   1   1   1   1   0   0   0   0
