Number of Tool Switches: 24 

Time elapsed: 0.082133 
Tool Sequence:
      8J  5J  1J  7J  6J  4J  2J  3J
  1T   1   1   0   0   0   1   1   1
  2T   0   0   0   1   1   1   1   1
  3T   1   1   0   0   0   0   1   1
  4T   1   1   1   0   1   1   1   1
  5T   1   1   1   1   1   1   1   1
  6T   1   1   1   1   1   1   0   0
  7T   1   1   1   1   1   1   1   1
  8T   1   1   1   1   0   0   0   0
  9T   1   1   1   1   1   1   1   1
 10T   1   1   1   1   0   0   0   0
 11T   0   0   0   1   1   1   1   1
 12T   0   0   1   1   1   0   0   0
 13T   1   1   1   1   1   1   1   1
 14T   1   1   1   1   1   1   1   1
 15T   1   0   0   0   0   0   0   0
 16T   1   1   1   1   1   1   1   1
 17T   0   0   1   0   1   1   1   1
 18T   0   1   1   1   1   1   1   1
 19T   1   1   1   1   1   1   1   1
 20T   1   1   1   1   1   1   1   1
