Number of Tool Switches: 34 

Time elapsed: 0.122606 
Tool Sequence:
      8J  7J  5J  1J  2J  6J  4J  3J
  1T   0   1   1   1   0   0   0   0
  2T   0   0   0   0   0   1   1   0
  3T   0   0   0   0   0   1   1   1
  4T   0   0   0   0   0   0   1   1
  5T   1   1   1   1   1   1   0   0
  6T   0   0   1   1   1   1   1   0
  7T   0   0   1   1   1   1   1   1
  8T   1   0   0   0   1   1   1   0
  9T   1   1   0   0   0   0   1   0
 10T   1   0   0   0   0   0   0   0
 11T   1   0   0   0   0   1   0   0
 12T   0   1   1   0   0   0   0   0
 13T   0   0   0   1   1   0   0   0
 14T   1   1   1   1   1   0   0   0
 15T   0   1   0   0   0   1   1   1
 16T   1   1   1   1   1   0   0   1
 17T   0   0   0   0   0   0   1   1
 18T   0   0   0   0   1   0   0   1
 19T   1   0   0   0   0   1   0   0
 20T   1   1   0   0   0   0   0   0
 21T   1   1   1   1   1   0   0   1
 22T   0   0   1   1   0   0   0   0
 23T   0   1   0   0   0   0   1   1
 24T   0   0   0   0   0   0   0   1
 25T   0   0   1   1   1   1   0   0
