Number of Tool Switches: 20 

Time elapsed: 0.043235 
Tool Sequence:
      6J  7J  1J  4J  8J  3J  2J  5J
  1T   1   1   1   1   1   1   1   1
  2T   1   1   1   1   1   1   1   1
  3T   1   1   1   1   1   1   1   1
  4T   1   1   1   1   1   1   1   1
  5T   1   1   1   1   1   1   1   1
  6T   1   1   1   1   1   1   1   1
  7T   1   1   1   1   1   1   1   1
  8T   0   0   0   0   0   0   0   1
  9T   1   1   1   1   1   1   1   1
 10T   1   1   1   1   1   1   1   1
 11T   1   1   1   1   1   1   1   1
 12T   1   1   1   1   1   1   1   1
 13T   1   1   1   1   1   1   1   1
 14T   0   0   0   0   0   1   1   0
 15T   0   0   0   0   0   0   1   1
 16T   1   1   1   1   1   1   0   0
 17T   1   1   1   1   0   0   0   0
 18T   1   1   1   1   1   1   0   0
 19T   0   0   0   0   0   0   1   1
 20T   0   0   0   0   1   0   0   0
