Number of Tool Switches: 31 

Time elapsed: 0.129384 
Tool Sequence:
      6J  3J  4J  7J  8J  5J  2J  1J
  1T   1   1   1   1   1   1   1   1
  2T   0   0   0   1   1   0   0   1
  3T   0   0   1   0   0   0   0   0
  4T   1   1   1   1   1   1   1   1
  5T   0   0   0   0   1   1   1   1
  6T   1   1   1   1   1   1   1   1
  7T   0   0   0   0   0   1   1   1
  8T   1   1   1   1   1   1   1   1
  9T   0   0   0   0   0   1   1   0
 10T   1   1   0   0   0   0   0   1
 11T   1   1   1   0   0   0   1   1
 12T   1   1   1   1   1   1   1   1
 13T   1   1   1   1   1   1   0   0
 14T   0   0   1   1   1   1   1   1
 15T   0   0   1   1   0   0   1   1
 16T   0   0   0   1   1   1   1   0
 17T   1   1   0   0   0   0   0   0
 18T   0   0   0   0   1   1   0   0
 19T   1   1   0   0   0   0   1   0
 20T   1   1   1   1   1   1   1   1
 21T   0   0   1   1   1   0   0   0
 22T   1   1   1   1   1   1   0   0
 23T   1   1   1   1   0   0   0   0
 24T   1   1   0   0   0   0   0   1
 25T   1   1   1   1   1   1   1   1
