Number of Tool Switches: 28 

Time elapsed: 0.097966 
Tool Sequence:
      7J  1J  2J  6J  5J  8J  4J  3J
  1T   1   1   1   1   1   1   1   1
  2T   0   0   0   1   1   1   1   1
  3T   1   1   1   1   1   1   1   1
  4T   1   1   1   1   1   1   1   1
  5T   0   0   0   0   1   1   1   1
  6T   1   1   1   1   1   1   0   0
  7T   1   1   1   1   1   0   1   1
  8T   1   1   1   1   1   1   1   1
  9T   1   1   1   1   1   1   1   1
 10T   1   1   1   1   1   1   1   1
 11T   1   1   1   1   1   1   1   1
 12T   1   1   1   1   1   1   1   1
 13T   0   0   0   0   0   1   1   1
 14T   1   1   1   1   1   1   1   1
 15T   1   1   1   1   1   1   0   0
 16T   1   1   1   1   1   1   1   1
 17T   1   1   1   1   1   0   0   1
 18T   1   1   1   1   0   0   0   1
 19T   1   1   1   0   0   0   0   0
 20T   1   1   1   1   1   1   1   1
 21T   1   1   1   1   1   1   1   0
 22T   1   1   1   1   1   1   1   1
 23T   1   1   1   1   1   1   1   1
 24T   0   0   0   0   0   1   1   0
 25T   0   0   0   0   0   0   1   1
