Number of Tool Switches: 30 

Time elapsed: 0.083556 
Tool Sequence:
      3J  8J  5J  2J  7J  4J  1J  6J
  1T   1   1   1   1   0   0   0   0
  2T   0   1   1   1   1   0   1   1
  3T   0   0   0   1   1   1   1   1
  4T   0   1   1   0   0   0   0   1
  5T   0   1   0   0   1   1   1   1
  6T   1   1   1   1   1   1   1   0
  7T   0   0   0   1   1   0   0   0
  8T   1   0   0   0   1   1   1   1
  9T   1   1   1   1   0   0   1   1
 10T   1   0   0   0   0   0   0   1
 11T   1   0   0   0   0   1   1   0
 12T   0   1   1   1   1   0   0   0
 13T   1   1   1   0   0   0   0   1
 14T   0   0   1   1   1   1   0   0
 15T   1   0   0   0   0   0   0   1
 16T   0   0   0   0   1   0   0   0
 17T   0   0   0   0   0   1   1   0
 18T   1   1   1   1   0   1   0   0
 19T   1   1   1   1   1   1   1   0
 20T   0   0   0   0   0   1   1   1
