Number of Tool Switches: 24 

Time elapsed: 0.075571 
Tool Sequence:
      7J  1J  5J  4J  6J  3J  2J  8J
  1T   0   0   0   1   1   1   1   1
  2T   1   1   1   1   1   1   1   1
  3T   1   1   1   1   1   1   1   1
  4T   1   1   1   1   1   1   1   1
  5T   0   1   1   1   1   1   1   1
  6T   1   1   1   1   1   1   1   1
  7T   1   0   0   0   0   0   0   0
  8T   1   1   1   1   1   1   0   0
  9T   1   1   1   1   1   1   1   0
 10T   1   1   1   1   1   0   0   0
 11T   1   1   1   1   0   0   1   1
 12T   0   0   0   0   0   1   1   1
 13T   1   1   1   1   1   1   1   0
 14T   1   1   1   0   0   0   0   1
 15T   1   1   1   1   1   1   1   1
 16T   0   0   1   1   0   0   0   1
 17T   1   1   1   1   1   1   1   1
 18T   1   1   1   1   1   1   1   1
 19T   0   0   0   0   1   1   1   1
 20T   1   1   0   0   1   1   1   1
