Number of Tool Switches: 26 

Time elapsed: 0.116841 
Tool Sequence:
      8J  6J  7J  2J  4J  1J  5J  3J
  1T   0   0   1   1   1   1   1   1
  2T   1   1   1   1   1   0   0   0
  3T   0   0   0   0   1   1   1   1
  4T   0   0   0   0   0   0   1   1
  5T   1   1   1   1   0   0   0   0
  6T   0   1   1   1   1   1   0   0
  7T   1   1   0   0   0   1   1   1
  8T   1   1   1   0   0   0   1   1
  9T   1   1   1   0   0   0   0   0
 10T   1   0   0   0   1   1   1   1
 11T   1   1   1   0   0   0   0   1
 12T   0   1   1   1   1   1   1   1
 13T   1   0   0   0   0   1   1   1
 14T   0   0   0   1   1   1   1   0
 15T   1   1   0   0   0   0   0   0
 16T   0   1   1   1   0   0   0   0
 17T   0   0   0   1   1   1   1   1
 18T   0   0   1   1   1   0   0   0
 19T   0   0   0   1   1   0   0   0
 20T   1   0   0   0   0   1   0   0
