Number of Tool Switches: 15 

Time elapsed: 0.000056 
Tool Sequence:
      1J  5J  2J  7J  4J  6J  3J  8J
  1T   1   1   1   1   1   1   1   1
  2T   1   1   1   1   1   1   1   1
  3T   1   1   1   1   1   1   1   1
  4T   1   1   1   1   1   1   1   1
  5T   0   0   0   0   0   0   0   1
  6T   0   0   0   0   0   0   1   1
  7T   0   0   0   0   0   0   0   1
  8T   1   1   1   1   1   1   1   1
  9T   1   1   1   1   1   1   1   1
 10T   1   1   1   1   1   0   0   0
 11T   0   0   0   0   0   1   1   0
 12T   0   0   0   0   0   1   1   0
 13T   1   1   1   1   1   1   1   1
 14T   1   1   1   1   1   1   0   0
 15T   1   1   1   1   1   0   0   0
