Number of Tool Switches: 25 

Time elapsed: 0.000068 
Tool Sequence:
      2J  5J  7J  8J  1J  3J  4J  6J
  1T   1   1   0   0   0   0   0   0
  2T   0   0   0   1   1   1   1   1
  3T   1   1   1   1   1   1   1   1
  4T   1   1   1   1   1   1   1   1
  5T   1   1   1   1   0   0   0   0
  6T   0   0   0   0   1   1   1   1
  7T   1   1   1   1   1   1   1   1
  8T   1   1   1   1   0   0   0   0
  9T   1   1   1   1   1   1   1   1
 10T   0   0   0   0   0   1   1   1
 11T   0   0   0   0   0   1   1   1
 12T   0   0   0   0   1   1   1   1
 13T   0   0   0   0   0   0   1   1
 14T   0   0   0   0   0   0   0   1
 15T   1   1   1   1   0   0   0   0
 16T   1   1   1   1   1   1   1   1
 17T   1   1   1   1   0   0   0   0
 18T   1   1   1   1   1   1   1   0
 19T   0   0   0   0   1   0   0   0
 20T   1   1   1   1   1   1   0   0
 21T   0   0   0   0   1   1   1   1
 22T   1   1   1   1   1   1   1   1
 23T   1   1   1   1   1   0   0   0
 24T   1   1   1   1   1   1   1   1
 25T   0   0   1   0   0   0   0   0
