Number of Tool Switches: 25 

Time elapsed: 0.000067 
Tool Sequence:
      2J  4J  5J  6J  3J  7J  8J  1J
  1T   0   0   0   1   1   1   1   1
  2T   1   1   1   1   1   1   1   1
  3T   0   0   0   0   0   0   1   1
  4T   1   1   1   1   1   1   1   1
  5T   0   0   0   0   0   0   0   1
  6T   0   0   0   0   0   0   1   1
  7T   1   1   1   1   1   1   1   0
  8T   0   0   0   0   0   1   1   0
  9T   0   0   0   0   0   1   0   0
 10T   1   1   1   1   1   0   0   0
 11T   0   0   0   0   1   0   0   0
 12T   0   0   0   0   0   0   0   1
 13T   0   0   0   1   1   0   0   0
 14T   1   1   1   1   1   1   1   1
 15T   1   1   1   1   0   0   0   0
 16T   0   0   0   0   1   1   0   0
 17T   1   1   1   1   0   0   0   0
 18T   0   0   0   0   0   0   1   1
 19T   0   0   0   1   1   0   0   0
 20T   0   0   0   0   0   1   0   0
 21T   1   1   1   0   0   0   0   0
 22T   0   0   0   0   0   0   0   1
 23T   1   1   1   0   0   0   0   0
 24T   1   1   1   0   0   0   0   0
 25T   0   0   0   0   0   1   1   0
