Number of Tool Switches: 26 

Time elapsed: 0.000073 
Tool Sequence:
      5J  2J  1J  3J  4J  6J  8J  7J
  1T   0   0   1   1   1   1   1   1
  2T   1   1   1   1   0   0   0   0
  3T   1   1   1   0   0   0   0   0
  4T   1   1   1   1   1   1   1   1
  5T   1   1   0   0   0   0   0   1
  6T   0   0   0   1   1   1   1   0
  7T   0   0   0   0   0   0   0   1
  8T   1   1   1   1   1   1   1   0
  9T   1   0   0   0   0   0   0   0
 10T   1   1   0   0   0   0   0   0
 11T   0   0   0   0   0   1   0   1
 12T   0   0   0   0   0   1   0   0
 13T   1   1   1   1   1   0   0   1
 14T   1   0   0   0   1   0   0   0
 15T   1   1   1   1   1   1   1   0
 16T   0   1   1   1   1   1   1   1
 17T   0   0   1   1   1   0   1   1
 18T   0   0   0   0   0   1   1   0
 19T   0   1   1   1   1   0   1   1
 20T   0   0   0   0   0   1   1   1
