Number of Tool Switches: 18 

Time elapsed: 0.000059 
Tool Sequence:
      1J  6J  8J  7J  3J  4J  5J  2J
  1T   1   1   1   1   1   1   1   1
  2T   0   0   0   0   0   1   1   1
  3T   0   0   0   0   1   1   1   0
  4T   0   0   0   0   1   1   1   0
  5T   1   1   1   0   0   0   0   1
  6T   0   0   0   1   1   0   0   0
  7T   1   1   1   0   0   0   0   1
  8T   1   1   1   1   1   1   1   1
  9T   1   1   1   1   1   1   1   1
 10T   1   1   1   1   1   1   1   1
 11T   1   1   1   1   1   1   1   1
 12T   1   1   1   1   0   0   0   0
 13T   0   0   0   1   1   1   1   0
 14T   1   1   1   1   0   0   0   1
 15T   1   1   1   1   1   1   1   1
