Number of Tool Switches: 26 

Time elapsed: 0.000072 
Tool Sequence:
      4J  8J  7J  5J  2J  6J  3J  1J
  1T   0   0   0   0   0   0   1   1
  2T   1   1   1   1   1   1   0   1
  3T   1   1   1   1   1   1   0   1
  4T   0   0   0   0   0   0   1   0
  5T   1   1   1   1   1   1   0   0
  6T   0   0   0   0   1   1   1   0
  7T   1   1   1   1   1   0   0   0
  8T   0   0   0   0   0   0   0   1
  9T   0   0   0   0   1   1   1   1
 10T   0   0   0   0   0   1   1   0
 11T   0   0   0   0   1   1   0   1
 12T   1   1   1   0   0   0   0   0
 13T   1   1   1   1   1   1   1   0
 14T   1   1   1   1   1   1   1   1
 15T   0   0   0   0   0   1   1   0
 16T   0   0   0   1   0   0   0   1
 17T   1   1   1   0   0   0   0   0
 18T   0   0   0   1   1   0   0   0
 19T   1   1   1   1   0   0   1   1
 20T   1   1   1   1   0   0   1   1
