Number of Tool Switches: 15 

Time elapsed: 0.000049 
Tool Sequence:
      3J  7J  5J  2J  6J  8J  4J  1J
  1T   1   1   1   1   1   1   1   1
  2T   0   0   0   0   0   1   1   1
  3T   1   1   1   1   1   1   1   1
  4T   1   1   1   1   1   1   1   1
  5T   1   1   1   1   1   1   1   1
  6T   0   0   0   0   0   0   1   1
  7T   1   1   1   1   1   1   1   1
  8T   1   1   1   1   1   1   1   1
  9T   1   1   1   1   1   1   1   0
 10T   1   1   1   1   1   0   0   0
 11T   0   0   0   0   0   0   0   1
 12T   1   1   1   1   1   1   0   0
 13T   0   0   0   0   0   0   0   1
 14T   0   0   0   0   1   1   1   0
 15T   1   1   1   1   0   0   0   0
