Number of Tool Switches: 29 

Time elapsed: 0.000073 
Tool Sequence:
      4J  3J  8J  6J  5J  1J  2J  7J
  1T   1   1   1   1   1   1   1   1
  2T   1   1   1   1   1   1   0   1
  3T   0   0   0   0   0   0   0   1
  4T   1   1   1   1   0   0   0   1
  5T   1   1   1   1   1   1   1   0
  6T   0   0   0   0   1   1   1   0
  7T   1   1   1   1   1   0   0   0
  8T   1   1   1   0   0   0   0   1
  9T   0   0   0   0   0   0   1   1
 10T   1   1   1   1   1   1   0   0
 11T   0   0   0   0   0   0   0   1
 12T   1   1   1   1   1   0   0   0
 13T   1   1   1   1   1   1   1   0
 14T   0   0   0   0   0   0   1   0
 15T   1   1   1   1   0   0   0   1
 16T   1   1   1   1   1   1   1   0
 17T   1   1   1   1   1   1   1   1
 18T   0   0   0   1   1   1   1   1
 19T   0   0   0   0   0   1   1   1
 20T   0   0   0   1   1   1   1   1
 21T   1   1   1   0   0   0   0   0
 22T   0   0   0   0   1   1   1   1
 23T   1   1   1   1   1   1   1   1
 24T   0   0   0   0   0   1   1   1
 25T   1   1   1   1   1   1   1   0
