Number of Tool Switches: 20 

Time elapsed: 0.000065 
Tool Sequence:
      1J  2J  7J  3J  5J  8J  6J  4J
  1T   1   1   1   1   1   1   1   1
  2T   1   1   1   1   1   1   1   1
  3T   0   0   0   0   0   0   0   1
  4T   1   1   1   1   1   1   1   1
  5T   1   1   1   1   1   1   1   1
  6T   1   1   1   1   1   1   1   1
  7T   1   1   1   1   1   1   1   1
  8T   0   0   0   0   0   0   1   1
  9T   1   1   1   1   1   1   1   1
 10T   1   1   1   1   1   1   1   1
 11T   0   0   0   0   0   1   1   1
 12T   1   1   1   1   1   1   0   0
 13T   1   1   1   1   1   1   1   0
 14T   0   0   0   0   0   0   0   1
 15T   1   1   1   1   1   1   1   0
 16T   0   0   0   0   0   0   1   1
 17T   1   1   1   1   1   0   0   0
 18T   1   1   1   1   1   1   1   1
 19T   1   1   1   1   1   1   1   1
 20T   1   1   1   1   1   1   0   0
