Number of Tool Switches: 32 

Time elapsed: 0.000076 
Tool Sequence:
      8J  4J  1J  2J  3J  6J  7J  5J
  1T   0   0   0   0   0   0   1   1
  2T   1   1   1   1   1   1   0   0
  3T   1   0   0   0   0   0   0   1
  4T   1   1   0   0   0   0   1   1
  5T   1   1   0   1   1   1   1   0
  6T   0   0   1   1   1   1   1   1
  7T   0   0   1   0   0   0   0   0
  8T   1   1   1   0   0   0   1   0
  9T   1   1   1   1   1   1   1   1
 10T   1   1   1   1   1   1   0   0
 11T   0   0   1   1   0   0   0   1
 12T   1   1   1   0   0   1   1   0
 13T   0   1   1   1   0   0   0   0
 14T   0   1   0   0   1   1   1   1
 15T   1   0   0   1   0   0   0   1
 16T   0   0   0   0   1   1   1   1
 17T   0   0   0   0   1   1   0   1
 18T   1   0   0   1   1   0   0   0
 19T   0   1   1   0   0   0   1   0
 20T   0   0   0   1   1   1   0   0
