"Instancia"	"N_FST"	"T_FST"	"N_FST"	"T_FST"	"Melhores Resultado"
"1"	"Instancias/C-3/s3n001.txt"	"120"	"0.0000000"	"120"	"0.0000000"	"0"
"2"	"Instancias/C-3/s3n001_1.txt"	" 97"	"0.4128601"	" 97"	"0.4128601"	"0"
"3"	"Instancias/C-3/s3n001_2.txt"	" 79"	"0.5304422"	" 79"	"0.5304422"	"0"
"4"	"Instancias/C-3/s3n001_3.txt"	" 56"	"0.5893327"	" 56"	"0.5893327"	"0"
"5"	"Instancias/C-3/s3n002.txt"	"113"	"1.0626007"	"113"	"1.0626007"	"0"
"6"	"Instancias/C-3/s3n002_1.txt"	" 88"	"0.4185328"	" 88"	"0.4185328"	"0"
"7"	"Instancias/C-3/s3n002_2.txt"	" 74"	"0.7150996"	" 74"	"0.7150996"	"0"
"8"	"Instancias/C-3/s3n002_3.txt"	" 55"	"1.0477842"	" 55"	"1.0477842"	"0"
"9"	"Instancias/C-3/s3n003.txt"	" 99"	"0.8694748"	" 99"	"0.8694748"	"0"
"10"	"Instancias/C-3/s3n003_1.txt"	" 81"	"0.4543051"	" 81"	"0.4543051"	"0"
"11"	"Instancias/C-3/s3n003_2.txt"	" 71"	"0.7159334"	" 71"	"0.7159334"	"0"
"12"	"Instancias/C-3/s3n003_3.txt"	" 52"	"0.8947423"	" 52"	"0.8947423"	"0"
"13"	"Instancias/C-3/s3n004.txt"	"113"	"0.8150124"	"113"	"0.8150124"	"0"
"14"	"Instancias/C-3/s3n004_1.txt"	" 93"	"0.4082341"	" 93"	"0.4082341"	"0"
"15"	"Instancias/C-3/s3n004_2.txt"	" 75"	"0.5061198"	" 75"	"0.5061198"	"0"
"16"	"Instancias/C-3/s3n004_3.txt"	" 54"	"0.5983788"	" 54"	"0.5983788"	"0"
"17"	"Instancias/C-3/s3n005.txt"	"119"	"0.9212714"	"119"	"0.9212714"	"0"
"18"	"Instancias/C-3/s3n005_1.txt"	" 99"	"0.3217705"	" 99"	"0.3217705"	"0"
"19"	"Instancias/C-3/s3n005_2.txt"	" 79"	"0.6290280"	" 79"	"0.6290280"	"0"
"20"	"Instancias/C-3/s3n005_3.txt"	" 58"	"0.7473185"	" 58"	"0.7473185"	"0"
"21"	"Instancias/C-3/s3n006.txt"	"100"	"1.0858798"	"100"	"1.0858798"	"0"
"22"	"Instancias/C-3/s3n006_1.txt"	" 85"	"0.5013621"	" 85"	"0.5013621"	"0"
"23"	"Instancias/C-3/s3n006_2.txt"	" 68"	"0.6254955"	" 68"	"0.6254955"	"0"
"24"	"Instancias/C-3/s3n006_3.txt"	" 51"	"0.7472498"	" 51"	"0.7472498"	"0"
"25"	"Instancias/C-3/s3n007.txt"	"113"	"0.7213021"	"113"	"0.7213021"	"0"
"26"	"Instancias/C-3/s3n007_1.txt"	" 91"	"0.4755580"	" 91"	"0.4755580"	"0"
"27"	"Instancias/C-3/s3n007_2.txt"	" 73"	"0.7960116"	" 73"	"0.7960116"	"0"
"28"	"Instancias/C-3/s3n007_3.txt"	" 58"	"0.7980156"	" 58"	"0.7980156"	"0"
"29"	"Instancias/C-3/s3n008.txt"	"132"	"0.6856156"	"132"	"0.6856156"	"0"
"30"	"Instancias/C-3/s3n008_1.txt"	"112"	"0.3508535"	"112"	"0.3508535"	"0"
"31"	"Instancias/C-3/s3n008_2.txt"	" 87"	"0.5569628"	" 87"	"0.5569628"	"0"
"32"	"Instancias/C-3/s3n008_3.txt"	" 63"	"0.8127417"	" 63"	"0.8127417"	"0"
"33"	"Instancias/C-3/s3n009.txt"	"103"	"0.8768004"	"103"	"0.8768004"	"0"
"34"	"Instancias/C-3/s3n009_1.txt"	" 86"	"0.4383150"	" 86"	"0.4383150"	"0"
"35"	"Instancias/C-3/s3n009_2.txt"	" 68"	"0.8187306"	" 68"	"0.8187306"	"0"
"36"	"Instancias/C-3/s3n009_3.txt"	" 52"	"0.7328991"	" 52"	"0.7328991"	"0"
"37"	"Instancias/C-3/s3n010.txt"	"105"	"0.7518195"	"105"	"0.7518195"	"0"
"38"	"Instancias/C-3/s3n010_1.txt"	" 86"	"0.4476148"	" 86"	"0.4476148"	"0"
"39"	"Instancias/C-3/s3n010_2.txt"	" 70"	"0.7756908"	" 70"	"0.7756908"	"0"
"40"	"Instancias/C-3/s3n010_3.txt"	" 54"	"0.7002906"	" 54"	"0.7002906"	"0"
