Number of Tool Switches: 15 

Time elapsed: 0.003477 
Tool Sequence:
      8J  4J  7J  1J  3J  2J  5J  6J
  1T   0   0   0   1   1   1   1   1
  2T   0   0   0   0   1   1   1   1
  3T   1   1   1   1   1   1   1   1
  4T   1   1   1   1   1   1   1   1
  5T   1   1   1   1   0   0   0   0
  6T   1   1   1   1   1   1   1   1
  7T   1   1   1   1   0   0   0   0
  8T   1   1   1   1   1   1   1   1
  9T   0   0   0   0   1   1   1   1
 10T   1   1   1   1   1   1   1   0
 11T   0   0   0   0   1   1   1   1
 12T   0   0   0   0   0   0   0   1
 13T   1   1   1   0   0   0   0   0
 14T   1   1   1   1   1   1   1   1
 15T   1   1   1   1   0   0   0   0
