Number of Tool Switches: 25 

Time elapsed: 0.006810 
Tool Sequence:
      4J  3J  5J  7J  6J  1J  2J  8J
  1T   1   1   1   1   1   1   1   1
  2T   1   1   1   1   1   1   1   1
  3T   1   1   1   1   1   0   0   0
  4T   0   0   0   0   0   1   1   1
  5T   1   1   1   1   1   1   1   1
  6T   1   1   1   1   1   1   1   1
  7T   0   0   0   0   0   0   0   1
  8T   0   0   1   0   0   0   0   0
  9T   0   0   0   0   0   0   1   1
 10T   0   0   0   0   0   0   1   1
 11T   0   0   0   1   1   1   1   1
 12T   0   0   0   1   1   1   1   1
 13T   1   1   0   0   0   0   0   0
 14T   1   1   1   1   1   1   1   1
 15T   0   0   0   0   0   1   0   0
 16T   1   1   1   1   1   1   0   0
 17T   1   1   1   1   1   1   1   1
 18T   1   1   1   1   1   1   1   1
 19T   1   1   1   1   1   0   0   0
 20T   1   1   1   1   1   1   1   1
 21T   0   0   0   0   0   0   1   0
 22T   1   1   0   0   0   0   0   0
 23T   0   0   1   0   0   0   0   0
 24T   1   1   1   1   1   1   1   1
 25T   1   1   1   1   1   1   0   0
