Number of Tool Switches: 20 

Time elapsed: 0.112272 
Tool Sequence:
      3J  7J  5J  4J  1J  6J  8J  2J
  1T   1   1   1   1   1   1   1   1
  2T   0   0   0   0   1   1   1   1
  3T   0   0   0   1   1   0   0   1
  4T   0   1   1   1   1   1   1   1
  5T   1   1   1   1   1   1   1   1
  6T   1   1   1   1   1   1   1   1
  7T   1   1   0   0   0   0   0   1
  8T   0   0   0   0   0   1   1   1
  9T   1   1   1   1   1   0   0   0
 10T   1   1   1   0   0   1   1   1
 11T   0   0   1   1   1   1   1   0
 12T   1   1   1   1   1   1   1   0
 13T   1   0   0   0   0   1   0   0
 14T   1   1   1   1   1   0   0   0
 15T   1   1   1   1   0   0   1   1
