Number of Tool Switches: 20 

Time elapsed: 0.003265 
Tool Sequence:
      2J  1J  4J  7J  3J  5J  6J  8J
  1T   1   1   1   1   1   1   1   1
  2T   1   1   1   1   1   1   1   1
  3T   1   1   1   1   1   1   1   1
  4T   1   1   1   1   1   1   1   1
  5T   1   1   1   1   1   1   1   1
  6T   1   1   1   1   1   1   1   1
  7T   0   0   0   0   0   0   0   1
  8T   1   1   1   1   1   1   1   1
  9T   1   1   1   1   1   1   1   1
 10T   1   1   1   1   1   1   1   1
 11T   1   1   1   1   1   1   1   1
 12T   0   0   0   0   0   0   0   1
 13T   1   1   1   1   1   1   1   1
 14T   1   1   1   1   1   1   1   1
 15T   0   0   0   0   0   1   1   0
 16T   1   1   1   1   1   1   1   0
 17T   0   0   0   0   0   0   1   0
 18T   1   1   1   1   1   1   0   0
 19T   0   0   0   0   0   0   0   1
 20T   1   1   1   1   1   0   0   0
