Number of Tool Switches: 16 

Time elapsed: 0.044399 
Tool Sequence:
      7J  4J  6J  2J  8J  3J  1J  5J
  1T   1   1   1   1   0   0   0   1
  2T   1   1   1   1   1   0   0   0
  3T   0   0   0   0   1   1   1   1
  4T   1   1   1   1   1   1   1   1
  5T   0   0   0   0   0   1   1   1
  6T   1   1   1   1   1   1   1   1
  7T   0   0   0   0   0   0   1   1
  8T   1   1   1   1   1   1   0   0
  9T   1   1   1   1   1   1   1   1
 10T   1   1   1   1   1   1   1   1
 11T   0   0   1   1   0   0   0   0
 12T   1   1   1   1   1   1   1   1
 13T   1   1   1   1   1   1   1   0
 14T   0   0   0   0   1   1   1   1
 15T   1   1   0   0   0   0   0   0
