Number of Tool Switches: 19 

Time elapsed: 0.090161 
Tool Sequence:
      4J  8J  5J  1J  2J  6J  7J  3J
  1T   1   1   1   1   1   1   1   1
  2T   1   1   1   0   0   0   0   0
  3T   0   0   0   1   1   1   1   1
  4T   0   0   0   0   1   1   0   0
  5T   1   1   1   1   1   1   1   1
  6T   1   1   1   1   0   0   1   1
  7T   1   0   0   0   0   1   1   1
  8T   1   0   1   1   1   1   0   0
  9T   1   1   1   1   1   0   0   0
 10T   1   1   1   1   1   1   1   1
 11T   1   1   1   1   1   1   1   1
 12T   0   1   1   1   0   0   1   1
 13T   0   1   1   1   1   1   1   1
 14T   1   1   0   0   0   0   0   0
 15T   0   0   0   0   1   1   1   1
