Number of Tool Switches: 20 

Time elapsed: 0.004014 
Tool Sequence:
      4J  7J  8J  1J  5J  3J  6J  2J
  1T   0   0   0   0   0   0   1   1
  2T   1   1   1   1   1   1   1   1
  3T   0   0   0   1   1   1   1   1
  4T   1   1   1   1   1   1   1   1
  5T   1   1   1   1   1   1   1   1
  6T   1   1   0   0   0   0   0   0
  7T   1   1   1   1   1   0   0   0
  8T   0   0   0   1   0   0   0   0
  9T   1   1   1   1   1   1   1   1
 10T   1   1   1   1   1   1   1   1
 11T   0   0   0   0   1   1   1   0
 12T   0   0   0   0   1   1   1   1
 13T   0   0   0   0   0   0   0   1
 14T   0   0   1   1   0   0   0   0
 15T   0   0   1   0   0   0   0   0
 16T   0   0   1   0   0   0   0   0
 17T   1   1   0   0   0   0   0   0
 18T   1   1   0   0   0   0   0   0
 19T   0   0   0   0   0   1   0   0
 20T   1   1   1   1   1   1   1   1
