Number of Tool Switches: 21 

Time elapsed: 0.027695 
Tool Sequence:
      3J  5J  6J  8J  2J  1J  4J  7J
  1T   0   0   0   0   0   0   1   0
  2T   0   0   1   1   0   0   0   0
  3T   0   0   0   0   0   0   0   1
  4T   0   0   0   1   0   0   0   1
  5T   0   0   0   0   1   1   1   1
  6T   0   0   0   0   0   0   0   1
  7T   1   1   1   0   0   0   0   0
  8T   0   0   0   0   1   1   1   0
  9T   0   0   0   0   0   1   1   1
 10T   0   0   0   0   1   1   0   0
 11T   0   0   0   0   0   0   1   0
 12T   1   1   1   0   0   0   0   0
 13T   0   0   1   0   0   0   0   0
 14T   0   0   0   1   1   1   0   0
 15T   0   0   0   0   1   0   0   0
 16T   0   0   0   1   0   0   0   0
 17T   1   1   0   0   0   0   0   0
 18T   0   0   0   1   0   0   0   0
 19T   1   1   0   0   0   0   0   0
 20T   1   1   1   0   0   0   0   0
