Number of Tool Switches: 25 

Time elapsed: 0.004263 
Tool Sequence:
      1J  3J  2J  7J  5J  6J  4J  8J
  1T   0   0   0   0   0   1   1   1
  2T   1   1   1   1   1   1   1   1
  3T   0   0   0   0   0   0   0   1
  4T   1   1   1   0   0   0   0   0
  5T   1   1   1   0   0   0   0   0
  6T   0   0   0   0   0   0   0   1
  7T   0   0   0   0   1   1   1   1
  8T   0   0   0   1   1   0   0   0
  9T   0   0   0   1   0   0   0   0
 10T   0   0   0   0   0   0   1   1
 11T   1   1   1   0   0   0   0   0
 12T   1   1   0   0   0   0   0   0
 13T   0   0   0   0   0   1   0   0
 14T   1   1   1   1   1   1   1   1
 15T   0   0   0   0   1   1   1   1
 16T   1   1   1   1   0   0   0   0
 17T   0   0   1   1   1   1   1   0
 18T   1   1   1   1   1   1   1   1
 19T   1   1   1   1   1   1   0   0
 20T   0   0   0   1   0   0   0   0
 21T   0   0   0   0   1   0   0   0
 22T   1   1   0   0   0   0   0   0
 23T   0   0   1   0   0   0   0   0
 24T   0   0   0   0   0   0   1   0
 25T   0   0   0   1   1   1   1   1
