Number of Tool Switches: 30 

Time elapsed: 0.270385 
Tool Sequence:
      3J  7J  5J  6J  2J  1J  8J  4J
  1T   1   1   1   1   1   1   0   0
  2T   0   0   0   0   0   0   1   1
  3T   1   1   1   1   1   1   1   1
  4T   1   1   1   1   1   1   0   0
  5T   0   0   0   1   1   1   1   1
  6T   1   1   1   0   0   0   0   0
  7T   1   1   1   1   1   1   1   1
  8T   1   1   1   0   0   0   0   0
  9T   1   1   1   1   1   1   1   1
 10T   1   0   0   0   0   1   1   1
 11T   1   1   1   1   0   0   0   0
 12T   1   1   1   1   0   0   0   0
 13T   0   0   0   0   1   1   1   1
 14T   1   1   1   0   0   1   1   1
 15T   0   0   1   1   1   1   1   1
 16T   0   0   0   1   1   0   0   0
 17T   1   1   1   0   1   1   1   1
 18T   0   0   0   0   1   1   1   1
 19T   0   1   1   1   1   0   0   0
 20T   0   0   0   1   1   1   1   1
 21T   0   0   0   1   0   0   1   1
 22T   1   1   1   1   1   1   1   1
 23T   1   1   1   1   0   0   1   1
 24T   1   1   0   0   0   0   0   0
 25T   0   0   0   0   1   1   0   0
