Number of Tool Switches: 28 

Time elapsed: 0.180740 
Tool Sequence:
      3J  2J  7J  5J  6J  4J  1J  8J
  1T   1   1   1   0   0   0   0   0
  2T   1   1   1   1   1   1   1   1
  3T   0   0   0   0   1   1   1   1
  4T   1   1   1   1   1   1   1   1
  5T   0   0   0   0   0   0   1   1
  6T   1   1   1   0   0   0   0   0
  7T   0   0   0   0   0   1   0   0
  8T   1   1   0   0   0   0   0   0
  9T   0   0   0   0   0   0   1   1
 10T   1   1   1   1   0   0   1   1
 11T   1   1   1   1   1   1   1   1
 12T   1   1   1   1   0   0   0   1
 13T   1   1   1   1   1   1   1   1
 14T   0   0   0   0   1   1   1   1
 15T   0   0   1   1   1   1   0   0
 16T   0   0   0   1   1   1   1   1
 17T   0   0   0   1   1   1   1   1
 18T   1   1   1   1   0   0   1   1
 19T   0   0   0   0   0   0   0   1
 20T   1   1   1   1   1   1   0   0
 21T   1   1   1   1   1   1   0   0
 22T   0   0   0   0   1   1   1   0
 23T   1   1   1   1   1   1   1   0
 24T   1   1   1   1   1   0   0   0
 25T   1   1   1   1   1   1   1   1
