Number of Tool Switches: 10 

Time elapsed: 0.056087 
Tool Sequence:
     10J  1J  5J  4J  6J  8J  7J  3J  9J  2J
  1T   0   0   0   1   1   1   1   1   1   1
  2T   0   0   0   0   1   1   1   0   0   0
  3T   1   1   1   1   1   1   1   1   1   1
  4T   1   1   1   0   0   0   0   0   0   0
  5T   0   0   0   0   0   0   0   1   0   0
  6T   0   0   0   0   0   0   0   0   1   1
  7T   0   0   0   0   1   1   1   1   1   0
  8T   1   1   1   1   1   1   1   1   0   0
  9T   1   1   1   1   0   0   0   0   0   0
 10T   1   1   1   0   0   0   0   0   0   0
