Number of Tool Switches: 25 

Time elapsed: 0.007714 
Tool Sequence:
      1J  4J  6J  3J  7J  2J  8J  5J
  1T   1   0   0   0   0   0   0   0
  2T   1   1   1   1   1   1   1   0
  3T   0   0   0   0   0   0   1   0
  4T   1   1   1   1   1   1   1   1
  5T   1   1   1   1   0   0   0   0
  6T   1   0   0   0   0   0   0   0
  7T   1   1   1   1   1   1   1   0
  8T   1   1   1   1   0   0   0   0
  9T   0   0   0   0   0   1   0   0
 10T   1   1   1   0   0   0   0   0
 11T   1   1   0   0   0   0   0   0
 12T   1   1   1   1   1   1   0   0
 13T   1   1   1   1   1   1   1   1
 14T   1   1   1   1   1   0   0   0
 15T   1   1   1   1   1   1   1   0
 16T   1   1   1   1   1   0   0   0
 17T   1   1   1   1   1   1   1   1
 18T   0   0   0   0   0   1   1   0
 19T   1   1   1   1   1   1   0   0
 20T   0   0   0   0   0   0   1   0
 21T   1   1   1   1   0   0   0   0
 22T   1   1   1   1   1   1   0   0
 23T   1   1   1   0   0   0   0   0
 24T   1   1   1   1   1   1   0   0
 25T   0   0   0   0   0   0   1   0
